Poštanski broj,Poštanski ured,Adresa,Mjesto
10000,Zagreb,Branimirova 4,ZAGREB
10004,Zagreb-Carina,Poštanska ulica 9,Velika Gorica
10010,Zagreb-Sloboština,V. Varićaka 13,ZAGREB
10020,Zagreb-Novi Zagreb,Siget 18 C,ZAGREB
10040,Zagreb-Dubrava,Dubrava 53,ZAGREB
10090,Zagreb-Susedgrad,Ilica 508,ZAGREB
10101,Zagreb,Jurišićeva 13,ZAGREB
10103,Zagreb,Basaričekova 11,ZAGREB
10104,Zagreb,Hrgovići 55,ZAGREB
10105,Zagreb,Britanski trg 12,ZAGREB
10106,Zagreb,Gundulićeva 8,ZAGREB
10108,Zagreb,Kraljevićeva  28,ZAGREB
10109,Zagreb,Prilaz baruna Filipovića 18,ZAGREB
10110,Zagreb,Ozaljska 152,ZAGREB
10111,Zagreb,Ulica Ante Topića Mimare 39A,ZAGREB
10112,Zagreb,Nova Ves 57,ZAGREB
10113,Zagreb,Zvonimirova 38,ZAGREB
10114,Zagreb,Folnegovićeva 5,ZAGREB
10115,Zagreb,Savska 17,ZAGREB
10116,Zagreb,Ulica grada Vukovara 86,ZAGREB
10119,Zagreb,"TC Point Centar Vrbani, Rudeška cesta 169 A",ZAGREB
10120,Zagreb,Črnomerec 1,ZAGREB
10121,Zagreb,J. Laurenčića 8 C,ZAGREB
10122,Zagreb,Nova cesta 39,ZAGREB
10123,Zagreb,Mandrovićeva 3,ZAGREB
10124,Zagreb,Albaharijeva 7,ZAGREB
10126,Zagreb,Ulica grada Vukovara 35,ZAGREB
10128,Zagreb,"TC Garden Mall, Rudolfa Kolaka 14",ZAGREB
10129,Zagreb,Meštrovićev trg bb,ZAGREB
10130,Zagreb,Petrinjska 30,ZAGREB
10131,Zagreb,Gruška 18,ZAGREB
10132,Zagreb,"City Centar One Zagreb East, Slavonska avenija 11D",ZAGREB
10133,Zagreb,Meksička bb,ZAGREB
10134,Zagreb,"TC Prečko, Slavenskog 1",ZAGREB
10135,Zagreb,Trg S. Konzula 4,ZAGREB
10136,Zagreb,Heinzlova 98,ZAGREB
10137,Zagreb,"TC Arena Zagreb, Vice Vukova 6",ZAGREB
10138,Zagreb,Dragutina Golika 28,ZAGREB
10139,Zagreb,B. Magovca 31,ZAGREB
10140,Zagreb,Braće Domany 8,ZAGREB
10141,Zagreb,Vile Velebita 6,ZAGREB
10142,Zagreb,Trg Johna Fitzgeralda Kennedya  11,ZAGREB
10144,Zagreb,Savska 41,ZAGREB
10145,Zagreb,Jablanska 24,ZAGREB
10146,Zagreb,Ivana Šibla 22,ZAGREB
10147,Zagreb,Trg I. Kukuljevića 5,ZAGREB
10148,Zagreb,Maksimirska 286,ZAGREB
10150,Zagreb-Zračna luka,Rudolfa Fizira 1,VELIKA GORICA
10151,Zagreb,Avenija Marina Držića 4,ZAGREB
10153,Zagreb,Šeferova 4,ZAGREB
10156,Zagreb,Prisavlje 14,ZAGREB
10158,Zagreb,"TC City Centar One Zagreb West, Jankomir 33",ZAGREB
10160,Zagreb,"TC Avenue Mall, Avenija Dubrovnik 16",ZAGREB
10162,Zagreb,Vijenac Frane Gotovca 5,ZAGREB
10163,Zagreb,Avenija Dubrovnik 32,ZAGREB
10166,Zagreb,Brežovanka 2 A,ZAGREB
10168,Zagreb,Šestinski trg 10,ZAGREB
10169,Zagreb,Donje Svetice 42,ZAGREB
10172,Zagreb,Podsusedski trg 14 B,ZAGREB
10173,Zagreb,Trg narodne zaštite 1,ZAGREB
10174,Zagreb,"TC Super Konzum Dubec, Avenija Dubrava 241, Zagreb",ZAGREB
10175,Zagreb,"TC Supernova Buzin, Avenija Većeslava Holjevca 62",ZAGREB
10250,Lučko,Puškarićeva 15,LUČKO
10251,Hrvatski Leskovac,Trg Hrvatskih branitelja Domovinskog rata 1,HRVATSKI LESKOVAC
10252,Kupinečki Kraljevec,Kraljevečki Brijegi 69,KUPINEČKI KRALJEVEC
10253,Donji Dragonožec,Turopoljska cesta 12,DONJI DRAGONOŽEC
10254,Odra,Odranska 82,ODRA
10255,Gornji Stupnik,Gornjostupnička 33,GORNJI STUPNIK
10256,Botinec,Šegrta Hlapića Bb,BOTINEC
10257,Brezovica,Brezovička cesta 100,BREZOVICA
10290,Zaprešić,D. Švajcara 5,ZAPREŠIĆ
10291,Prigorje Brdovečko,Zagrebačka 29,PRIGORJE BRDOVEČKO
10292,Šenkovec,Zagrebačka 45,ŠENKOVEC
10293,Dubravica,Pavla Štoosa 16 A,DUBRAVICA
10294,Donja Pušća,Kumrovečka 104,PUŠĆA
10295,Kupljenovo,Matije Gupca 53 A,KUPLJENOVO
10296,Luka,Trg svetog Roka 1,LUKA
10297,Jakovlje,Stubička 4,JAKOVLJE
10298,Bistra,Pešćenka 3,DONJA BISTRA
10299,Marija Gorica,Gorička 18 A,MARIJA GORICA
10310,Ivanić Grad,Moslavačka 14,IVANIĆ GRAD
10311,Posavski Bregi,Savska 68,POSAVSKI BREGI
10312,Kloštar Ivanić,Zagrebačka 2,KLOŠTAR IVANIĆ
10313,Graberje Ivaničko,Zagrebačka 40,GRABERJE IVANIĆKO
10314,Križ,Zagrebačka 15,KRIŽ
10315,Novoselec,Kolodvorska 8,NOVOSELEC
10316,Lijevi Dubrovčak,Ulica braće Radića 4A,LIJEVI DUBROVČAK
10340,Vrbovec,Trg P. Zrinskog 12,VRBOVEC
10342,Dubrava,Braće Radić 2,DUBRAVA
10344,Farkaševac,Farkaševac 43,FARKAŠEVAC
10345,Gradec,Gradec 135,GRADEC
10346,Preseka,Preseka 57,PRESEKA
10347,Rakovec,Rakovec 54,RAKOVEC
10360,Sesvete,Varaždinska 1,SESVETE
10361,Sesvete-Kraljevec,Dugoselska 35,SESVETSKI KRALJEVEC
10362,Kašina,Ivana Mažuranića 67 A,KAŠINA
10363,Belovar,Varaždinska 47,BELOVAR
10365,Sesvete,Ljubičica 33,SESVETE
10370,Dugo Selo,J. Zorića 26,DUGO SELO
10372,Rugvica,Trg dr. Franje Tuđmana 1,RUGVICA
10373,Ivanja Reka,Marofska 1A,IVANJA REKA
10380,Sveti Ivan Zelina,Zagrebačka 5,SV. IVAN ZELINA
10381,Bedenica,Bedenica 112 A,BEDENICA
10382,Donja Zelina,Donjozelinska 107,DONJA ZELINA
10383,Komin,Komin 34 A,KOMIN
10407,Šćitarjevo,Šćitarjevo 70,ŠĆITARJEVO
10408,Velika Mlaka,A. Grahovara 10,VELIKA MLAKA
10409,Velika Gorica,Trg kralja Tomislava 34,VELIKA GORICA
10410,Velika Gorica,Slavka Kolara 15,VELIKA GORICA
10411,Orle,Orle 5,ORLE
10412,Donja Lomnica,Stepanska 10,DONJA LOMNICA
10413,Kravarsko,Trg Stjepana Radića 1,KRAVARSKO
10414,Pokupsko,Pokupsko 25A,POKUPSKO
10415,Novo Čiče,Velokogorička Bb,NOVO ČIČE
10417,Buševec,Trg seljačke sloge 9,VELIKA GORICA
10418,Dubranec,Dubranec 5,DUBRANEC
10419,Vukovina,Vukovina 14,VUKOVINA
10430,Samobor,Gajeva 4,SAMOBOR
10431,Sveta Nedelja,Trg Antuna Starčevića 4,SVETA NEDELJA
10432,Bregana,Đ. Basaričeka 9,BREGANA
10433,Samobor,Zagorska 43,SAMOBOR
10434,Strmec,Vladimira Nazora 13,STRMEC SAMOBORSKI
10435,Sveti Martin pod Okićem,Sveti Martin pod Okićem 34,SV. MARTIN P/O
10436,Rakov Potok,Karlovačka Cesta 126,RAKOV POTOK
10437,Bestovje,Dr. Franje Tuđmana 38 A,BESTOVJE
10450,Jastrebarsko,Kralja Tomislava 2,JASTREBARSKO
10451,Pisarovina,Trg Stjepana Radića 11,PISAROVINA
10452,Klinča Sela,Karlovačka ulica 28E,KLINČA SELA
10453,Gorica Svetojanska,Gorica Svetojanska 35,SVETA  JANA
10454,Krašić,Krašić 101,KRAŠIĆ
10455,Kostanjevac,Kostanjevac 5,KOSTANJEVAC
10456,Kalje  sez.,Kalje 1,KALJE
10457,Sošice,Sošice 17,SOŠICE
20000,Dubrovnik,Vukovarska 16,DUBROVNIK
20103,Dubrovnik,Miljenka Bratoša 21,DUBROVNIK
20106,Dubrovnik,Marka Marojice 1,DUBROVNIK
20107,Dubrovnik,Obala Ivana Pavla II 24,DUBROVNIK
20108,Dubrovnik,Široka 8,DUBROVNIK
20109,Dubrovnik,Dr. Roka Mišetića 2,DUBROVNIK
20205,Topolo,Topolo 48,TOPOLO
20207,Mlini,Put Bruna Bušića 81,MLINI
20210,Cavtat,Trumbićev Put 10,CAVTAT
20213,Čilipi,Beroje 27,ČILIPI
20215,Gruda,Gruda 139,GRUDA
20216,Dubravka,Butkovina 46,DUBRAVKA
20221,Koločep,Donje Čelo 35,KOLOČEP
20222,Lopud,Obala Ivana Kuljevana 3,LOPUD
20223,Šipanjska Luka,Šipanjska Luka 20,ŠIPANJSKA LUKA
20224,Maranovići  sez.,Maranovići 1,MARANOVIĆI
20225,Babino Polje,Sršenovići 46,BABINO POLJE
20226,Goveđari,Pristanište 7,GOVEĐARI
20230,Ston,Trg kralja Tomislava 1,STON
20232,Slano,Trg Ruđera Boškovića 1,SLANO
20235,Zaton Veliki,Obala dr. Ante Starčevića 1,ZATON VELIKI
20236,Mokošica,Bartola Kašića 2,MOKOŠICA
20240,Trpanj,Trg kralja Tomislava 23,TRPANJ
20242,Oskorušno,Privor 1,OSKORUŠNO
20243,Kuna,Kuna 53,KUNA
20244,Potomje,Potomje 18,POTOMJE
20245,Trstenik,Kraj 11,TRSTENIK
20246,Janjina,Janjina 94 B,JANJINA
20247,Žuljana,Kraj 2,ŽULJANA
20248,Putniković,Putnikovići 14,PUTNIKOVIĆI
20250,Orebić,Obala pomoraca 13,OREBIĆ
20260,Korčula,Trg kralja Tomislava 24,KORČULA
20263,Lumbarda,Lumbarda 546,LUMBARDA
20264,Račišće,Račišće 118,RAČIŠĆE
20267,Kućište,Kućište 119,KUĆIŠTE
20269,Lovište,Lovište 127,LOVIŠTE
20270,Vela Luka,Obala 2 broj 1,VELA LUKA
20271,Blato,Ulica 1 broj 17,BLATO
20272,Smokvica,Smokvica 81,SMOKVICA
20273,Čara,Čara 197,ČARA
20274,Pupnat,Pupnat 24,PUPNAT
20275,Žrnovo,Žrnovo 164,ŽRNOVO
20278,Nova Sela,Kulina 2,NOVA SELA
20289,Ubli  sez.,Trg sv. Petra 5,UBLI
20290,Lastovo,Prijevor 9,LASTOVO
20340,Ploče,Trg kralja Tomislava 18,PLOČE
20341,Kula Norinska,Rujnička 1,KULA NORINSKA
20342,Otrić Seoci,Otrić Seoci 6,OTRIĆ SEOCI
20343,Rogotin,Ante Rončevića 20 A,ROGOTIN
20344,Komin (Dalmacija),Obala Stjepana Radića 103,KOMIN
20345,Staševica,Petra Kezića 2,STAŠEVICA
20350,Metković,Dr. Ante Starčevića 9,METKOVIĆ
20352,Vid,Ulica put Grada 19,VID
20353,Mlinište,Mlinište 26,MLINIŠTE
20355,Opuzen,Stanka Parmaća 8,OPUZEN
20356,Klek,Neretvanska 8,KLEK
20357,Blace,Dolac 18,BLACE
21000,Split,Hercegovačka 1,SPLIT
21101,Split,Kralja Tomislava 9,SPLIT
21102,Split,Obala kneza Domagoja 3,SPLIT
21103,Split,Kralja Zvonimira 45,SPLIT
21104,Split,Domovinskog rata 53,SPLIT
21105,Split,Vladimira Nazora 22,SPLIT
21106,Split,Lovretska 22,SPLIT
21107,Split,Vinkovačka 8,SPLIT
21108,Split,Antuna Branka Šimića 32,SPLIT
21109,Split,Cesarčeva 2 A,SPLIT
21110,Split,Gradišćanskih Hrvata 22,SPLIT
21111,Split,Krležina 26,SPLIT
21112,Split,Pujanke 24/3,SPLIT
21113,Split,"TC City Centar One Split, Vukovarska 207",SPLIT
21114,Split,Papandopulova 1,SPLIT
21115,Split,Odeska 14,SPLIT
21119,Split,"TC Mall Of Split, Josipa Jovića 93",SPLIT
21201,Prgomet,Put Sela 1,PRGOMET
21202,Lećevic,Hrvatskih mučenika 1,LEĆEVICA
21203,Donji Muć,Donji Muć 150,DONJI MUĆ
21204,Dugopolje,Stepinčeva 1,DUGOPOLJE
21206,Donje Ogorje,Rađe 3,DONJE OGORJE
21207,Kostanje,Poljička cesta 71,KOSTANJE
21208,Kučiće,Franje Josipa 63,KUČIČE
21209,Solin,"TC Salona Mall Antuna Gustava Matoša 10, Solin",SOLIN
21210,Solin,Zvonimirova 77,SOLIN
21211,Vranjic,Obala pomoraca 77,VRANJIC
21212,Kaštel Sućurac,Branitelja od Turaka 2,KAŠTEL SUĆURAC
21213,Kaštel Gomilica,Cesta dr. Tuđmana 434,KAŠTEL GOMILICA
21214,Kaštel Kambelovac,Cesta dr. Tuđmana 560,KAŠTEL KAMBELOVAC
21215,Kaštel Lukšić,Hrvatskih branitelja 4,KAŠTEL LUKŠIĆ
21216,Kaštel Stari,Grgura Ninskog 6,KAŠTEL STARI
21217,Kaštel Štafilić,Put svete Lucije 34,KAŠTEL ŠTAFILIĆ
21218,Seget Donji,Trg hrvatskog viteza Š. Frzelina 1,SEGET DONJI
21219,Trogir,Gradska 53,TROGIR
21220,Trogir,Put Muline 33,TROGIR
21222,Marina,Ante Rudana 47,MARINA
21223,Okrug Gornji,Bana Jelačića 15,OKRUG GORNJI
21224,Slatine,Duboke Garme 6,SLATINE
21225,Drvenik Veliki,Drvenik 1,DRVENIK VELIKI
21226,Vinišće,Trg Ivana Duknovića 1,VINIŠĆE
21227,Primorski Dolac,Primorski Dolac 1,PRIMORSKI DOLAC
21228,Blizna Donja,Mamuti 26,BLIZNA DONJA
21230,Sinj,Glavička 5,SINJ
21231,Klis,Trg Mejdan 1,KLIS
21232,Dicmo,Kraj 44,DICMO
21233,Hrvace,Hrvace 230,HRVACE
21234,Brnaze,Brnaze 420 B,BRNAZE
21236,Vrlika,Bana Berislavića 21,VRLIKA
21238,Otok (Dalmacija),Trg dr. Franje Tuđmana 5,OTOK
21240,Trilj,Svetog Mihovila 19,TRILJ
21241,Obrovac Sinjski *,Obrovac Sinjski 242 B,OBROVAC SINJSKI
21242,Grab,Grab 147A,GRAB
21244,Cista Velika,Trg Mate Vučka 5,CISTA VELIKA
21246,Aržano,Cesta Josipa Jovića 44,ARŽANO
21247,Neorić,Neorić 58,NEORIĆ
21250,Šestanovac,Dr. Franje Tuđmana 56,ŠESTANOVAC
21251,Žrnovnica,Krešimirova 7,ŽRNOVNICA
21252,Tugare,Trg sv. Roka 1,TUGARE
21253,Gata,Poljička cesta 83,GATA
21254,Blato na Cetini,K. Tomislava 29,BLATO NA CETINI
21255,Zadvarje,Dr. Franje Tuđmana 4,ZADVARJE
21256,Cista Provo,Ante Starčevića 2,CISTA PROVO
21257,Lovreć,Dr. Franje Tuđmana 42,LOVREĆ
21260,Imotski,Bruna Bušića 7,IMOTSKI
21261,Runović,Trg fra Mije Runovića 1,RUNOVIĆ
21262,Kamenmost  sez.,Kamenmost bb,KAMENMOST
21263,Krivodol,Svete Ane 1,KRIVODOL
21264,Donji Proložac,Hrvatskih branitelja 101,DONJI PROLOŽAC
21265,Studenci,Put škole 13,STUDENCI
21266,Zmijavci,Dr. Franje Tuđmana 130,ZMIJAVCI
21268,Drum,Domovinskog rata 37,DRUM
21270,Zagvozd,Trg zabiokovskih junaka Domovinskog rata 3,ZAGVOZD
21271,Grabovac,Grabovac centar 133,GRABOVAC
21272,Slivno,Slivno 319,SLIVNO
21275,Dragljane,Dragljane 40,DRAGLJANE
21276,Vrgorac,Tina Ujevića 10,VRGORAC
21277,Veliki Prolog,Veliki Prolog 25,VELIKI PROLOG
21285,Solin,Solinske mladeži 69 D,SOLIN
21292,Srinjine,Poljičke Kneževine 23,SRNJINE
21300,Makarska,Trg 4. svibnja 533 Br. 1,MAKARSKA
21310,Omiš,Fošal 1,OMIŠ
21311,Stobreč,Cetinska 22,STOBREČ
21312,Podstrana,Franje Tuđmana 1,PODSTRANA
21314,Jesenice,Put svetog Nikole 1,JESENICE
21315,Dugi Rat,Trg kralja Tomislava 10,DUGI RAT
21317,Lokva Rogoznica sez.,Ivašnjak I/1,LOKVA ROGOZNICA
21318,Mimice,Kralja Tomislava 49,MIMICE
21320,Baška Voda,Obala svetog Nikole 79,BAŠKA VODA
21322,Brela,Trg Alojzija Stepinca 1,BRELA
21323,Promajna  sez.,Obala 1,PROMAJNA
21325,Tučepi,Kraj 44,TUČEPI
21327,Podgora,Obala kneza Branimira 81,PODGORA
21328,Drašnice,Drašnice 130,DRAŠNICE
