Poštanski broj,Poštanski ured,Adresa,Mjesto
34304,Požega,Tekija 1/A,POŽEGA
34308,Jakšić,Osječka 39,JAKŠIĆ
34310,Pleternica,Trg Hrvatskih branitelja 8,PLETERNICA
34312,Sesvete (kod Požege),Sesvete 78,SESVETE
34315,Ratkovica,Ratkovica 3,RATKOVICA
34322,Brestovac,Požeška 60 B,BRESTOVAC
34330,Velika,Bana Josipa Jelačića 9,VELIKA
34334,Kaptol,Školska 5,KAPTOL
34335,Vetovo,Zagrebačka 3,VETOVO
34340,Kutjevo,Republike Hrvatske 73,KUTJEVO
34343,Bektež,Bektež 4E,BEKTEŽ
34350,Čaglin,Kolodvorska 1,ČAGLIN
34543,Poljana,Antunovačka 23,POLJANA
34550,Pakrac,Trg bana Jelačića 19,PAKRAC
34551,Lipik,Udinska 7,LIPIK
34552,Badljevina,Trg Franje Tuđmana 3,BADLJEVINA
35000,Slavonski Brod,Trg Hrvatskog proljeća 6,SLAVONSKI BROD
35101,Slavonski Brod,Trg Pobjede 2,SLAVONSKI BROD
35102,Slavonski Brod,"TC Kaufland, Naselje Slavonija II br. 5",SLAVONSKI BROD
35103,Slavonski Brod,Nikole Zrinskog 88,SLAVONSKI BROD
35104,Slavonski Brod,Zagrebačka 39,SLAVONSKI BROD
35105,Slavonski Brod,Marinci 4,SLAVONSKI BROD
35106,Slavonski Brod,Naselje Andrije Hebranga 5 B,SLAVONSKI BROD
35107,Podvinje,Trg svetog Antuna 1,PODVINJE
35108,Slavonski Brod,Mile Budaka 1,SLAVONSKI BROD
35201,Podcrkavlje,Trg 108. Brigade 11,PODCRKAVLJE
35208,Ruščica,Trg Ivane Brlić Mažuranić 1,RUŠČICA
35209,Bukovlje,Josipa Kozarca 20,BUKOVLJE
35210,Vrpolje,Trg dr. Franje Tuđmana 1,VRPOLJE
35211,Trnjani,Svetog Marka 46,TRNJANI
35212,Garčin,Kralja Tomislava 92,GARČIN
35213,Oprisavci,Trg svetog Križa 1,OPRISAVCI
35214,Donji Andrijevci,Trg kralja Tomislava 9,DONJI ANDRIJEVCI
35220,Slavonski Šamac,Kralja Zvonimira 6,SLAVONSKI ŠAMAC
35221,Velika Kopanica,Vladimira Nazora 1,VELIKA KOPANICA
35222,Gundinci,Stjepana Radića 2,GUNDINCI
35224,Sikirevci,Ljudevita Gaja 4,SIKIREVCI
35250,Oriovac,Trg Hrvatskog preporoda 1,ORIOVAC
35252,Sibinj,108. brigade Zng 6,SIBINJ
35253,Brodski Stupnik,Stjepana Radića 117,BRODSKI STUPNIK
35254,Bebrina,Bebrina 81,BEBRINA
35255,Slavonski Kobaš,Ante Starčevića 4,SLAVONSKI KOBAŠ
35257,Lužani,Vladimira Nazora 48,LUŽANI
35400,Nova Gradiška,Trg kralja Tomislava 11,NOVA GRADIŠKA
35403,Rešetari,Vladimira Nazora 28,REŠETARI
35404,Cernik,Frankopanska 105A,CERNIK
35410,Nova Kapela,Trg kralja Tomislava 11,NOVA KAPELA
35420,Staro Petrovo Selo,Trg kralja Tomislava 2,STARO PETROVO SELO
35422,Zapolje,Kardinala A. Stepinca 5,ZAPOLJE
35423,Vrbje,Kralja Tomislava 2,VRBJE
35424,Orubica,Savska 40,ORUBICA
35425,Davor,Gundulićeva 35/Ii,DAVOR
35428,Dragalić,Trg svetog Ivana Krstitelja 2,DRAGALIĆ
35429,Gornji Bogićevci,Trg Hrvatskih banitelja 1,GORNJI BOGIĆEVCI
35430,Okučani,Alojzija Stepinca 24,OKUČANI
